llm_job_desc	full description	job id
"> **Summary:**
> Rumble Studio Coordinators provide exceptional customer service and support all aspects of the fitness program and business while fostering a positive and empowering work environment.
> 
> **Responsibilities:**
> * Provide high-level customer service and hospitality
> * Assist studio management with daily tasks and projects
> * Maintain a positive attitude and take initiative
> * Support trainers and facilitate class check-in
> * Collaborate with staff to ensure efficiency
> * Maintain retail product knowledge
> * Train new front desk staff
> * Uphold Rumble's aesthetic, atmosphere, and culture
> 
> **Skills Required:**
> * Excellent customer service and hospitality skills
> * Fitness knowledge and passion for Rumble workouts
> * Ability to prioritize and multi-task
> * Positive attitude
> * Willingness to take initiative and work without direction
> * Proficient in computer interfaces and systems
> * Friendly and professional phone and email etiquette
> * Flexibility to work non-traditional hours"	CAREER OVERVIEW:As the first people clients see when they enter one of our studios, Rumble Studio Coordinators need to be experts in customer service and hospitality. Coordinators should be well-versed in all aspects of our fitness program and business.Coordinators have the opportunity to lead and work significantly in areas of the business that interest them - retail, private training, marketing, social media, events, etc. Rumble is a rapidly growing business, providing Coordinators with an amazing opportunity to learn on the job and grow within the company.QUALITIES:You are passionate. You are passionate about empowering your fellow employees and our clients through the Rumble workout and experience.You are both creative and logical. Your right brain and left brain operate in sync, and you can brainstorm innovative ideas for any challenge.You are a ferocious communicator. You have a strong understanding of email and phone etiquette, and you can articulate your point to even the most difficult of listeners.You can work as a team. You have the ability to make the weakest link strong, you are fearless in your communication, and you have the ability to effectively lead the team to ensure that tasks and goals are completed.You create an empowering environment. You bring something new to the table, and you have exciting and well-rounded ideas to share with the team.You are driven. You desire growth within our team and Rumble family.You are a studio fitness buff. You love the Rumble workout, and you have the ability to perform physical requirements of the position.RESPONSIBILITIES:Provide high level customer service and hospitalityAssist studio management in daily studio tasks and projectsMaintain a positive attitude and take initiativeSupport trainers and ensure that class check-in process runs smoothlyWork as a cohesive team with all staff members (maintenance, trainers, etc.) to ensure efficiencyMaintain product knowledge for all retail in the studio and onlineAssist with the training of new hires for the front desk teamMaintain the distinct Rumble aesthetic, atmosphere, and cultureREQUIREMENTS:Marina Training location is hiring specifically for Coordinators with midday availability of 10AM - 1:30PM.Must have the ability to prioritize and multi-task within a fast-paced environmentMust have a positive, can-do attitudeMust be willing to initiate tasks and perform duties without directionMust have the ability to learn computer interfaces and systems quicklyMust have a friendly and professional phone and email etiquetteMust have the flexibility to work a non-traditional work scheduleBENEFITS & PAY:$16.99 / hourCompetitive PayGrowth PotentialComplimentary Rumble ClassesOpportunity to earn Commission	3868740034
"> **Summary:**
> 
> This Project Coordinator role is responsible for managing project documentation, preparing status reports, coordinating communication, obtaining vendor quotes, and assisting with project administration tasks for a New Jersey-based contractor specializing in environmental and remedial construction services.
> 
> **Responsibilities:**
> 
> * Oversee and manage project documentation
> * Prepare standard project status reports including status updates, budgets, schedules, and risks
> * Coordinate and schedule meetings and communication plans with the project team and clients
> * Coordinate and obtain vendor quotations for processing
> * Assist with project administration deliverables such as meeting minutes, budget tracking, schedule updates, move management, and closeouts
> 
> **Skills Required:**
> 
> * Ability to organize project documentation for multiple projects
> * Ability to run reports and basic math formulas in Excel
> * 1+ years of experience with RFI, change orders, and submittals"	This New Jersey-based contractor with over 30 years of experience in providing remedial and environmental construction services to Fortune 500 corporations, national engineering firms, and major utility companies.Job Description:  Oversees and manages project documentation and coordinates documentation revisions and distributions.  Prepares standard project status reports for project delivery team or work group, client and management.  Reports typically include: status update, budget, schedule and risk.  Coordinates and schedules meeting and communication plan(s) regarding projects among team and/or client.  Coordinates and obtains vendor quotations for processing.  Assists with project administration deliverables (i.e. meeting minutes; budget tracking; schedule updates; move management; closeout) Qualifications: Ability to organize project documentations for multiple projects Ability to run reports and basic math formulas in Excel 1+ years of experience RFI, change order, and submittalsThis position offers competitive pay, full encompassing benefits, and opportunity for growth. About ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.	3868745960
"> **Summary:**
> Robert Half Legal is seeking an experienced Commercial Real Estate Paralegal to assist attorneys in all aspects of commercial real estate transactions, including documentation, due diligence, development, leasing, and post-closing activities.
> 
> **Responsibilities:**
> * Order and review title documents, conduct due diligence
> * Prepare and administer critical dates and closing checklists
> * Coordinate and assist with closings, including document preparation
> * Handle post-closing requirements
> * Prepare draft documents and miscellaneous documents for attorney review
> 
> **Skills Required:**
> * 5+ years of experience in commercial real estate transactions
> * Proficiency in Microsoft Office, especially Excel
> * Bachelor's degree"	Robert Half Legal is partnering with a top-rated law firm that's seeking a Commercial Real Estate Paralegal with 5+ years of experience to join their team. This Commercial Real Estate Paralegal will assist attorneys in all aspects of commercial real estate transactions, including documentation, due diligence, development and entitlements, closing and post-closing activities for real estate acquisitions, dispositions, and leasing. Salary is between $80-110K plus bonus and full benefits. This position will have the opportunity to WFH for 3-4 days per week. If you are looking to join one of the top commercial real estate practices, then this is the opportunity for you!Commercial Real Estate Paralegal ResponsibilitiesOrder and review title commitments, exception documents and surveys, interfacing directly with the title company, surveyor and overseeing attorney to resolve any issues or discrepancies.Prepare and administer contract critical dates and closing checklists.Track and assist overseeing attorney with review of due diligence and entitlement documents such as zoning analyses, traffic studies, noise studies, environmental assessments and permits.Coordinate and assist with all aspects of closings, including preparation of conveyance documents, closing statements, and other closing documents.Attend to all post-closing requirements, which will require you to prepare closing indices, prepare and organize closing binders, and monitor all post-closing deliveries and requirementsPrepare initial draft document, amendments to agreements or leases and miscellaneous documents, including estoppel certificates, SNDAs and Memos of Lease for attorney reviewOrder UCC Lein and other searchesFor immediate consideration, please email you resume directly to Justin Rambert, AVP - Permanent Placement at justin . rambert @ robert half com1W,Bachelor Degree 5+ years of experience handling commercial real estate transactionsProficiency in Microsoft Office applications including strong Excel skillsFor immediate consideration, please email you resume directly to Justin Rambert, AVP - Permanent Placement at justin . rambert @ robert half com,Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.Robert Half works to put you in the best position to succeed. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity - whenever you choose - even on the go. Download the Robert Half app and get 1-tap apply, notifications of AI-matched jobs, and much more.All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals, including medical, vision, dental, and life and disability insurance. Hired contract/temporary professionals are also eligible to enroll in our company 401(k) plan. Visit roberthalf.gobenefits.net for more information.© 2024 Robert Half. Robert Half is not a law firm and does not provide legal representation. Robert Half project lawyers do not constitute a law firm among themselves. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use.	3868752629
"> **Summary:**
> 
> Join a leading CDMO specializing in cell and gene therapy production as a Laboratory Scientist to execute client projects, analyze samples, and provide technical leadership during manufacturing and development.
> 
> **Responsibilities:**
> 
> * Perform laboratory experiments and analytical testing for client projects
> * Prepare and schedule laboratory equipment
> * Lead manufacturing and development projects
> * Communicate with clients on technical matters
> * Identify and resolve manufacturing process constraints
> * Generate manufacturing and development documentation
> * Develop experiment protocols and reports
> 
> **Skills Required:**
> 
> * Bachelor's degree in life science or engineering
> * 3+ years' experience in aseptic cell processing, cell culture, and cell analytics
> * Project management and budget control skills
> * Team leadership and delegation abilities
> * Ability to work effectively in a fast-paced environment"	Great opportunity to work with a leading global contract development and manufacturing organization (CDMO) dedicated to the production of cell and gene therapy products.Job Description: Perform laboratory experiments for client project.Perform analytical testing for client project.Preparation and scheduling of laboratory equipment for experiments.Provide technical leadership of client products during manufacturing and development.Direct technical communication with clients during manufacturing and development.Support manufacturing in identifying and resolving manufacturing process constraint.Lead the generation of manufacturing and development documentation.Generating experiment protocols and reports for development projects.Qualifications: Minimum of a Bachelor's degree in relevant life science or engineering discipline.Minimum of 3 years' experience in aseptic cell processing, cell culture and cell analytics under the guidance of scientific protocols.Demonstrated ability to deliver projects to specific timelines and budgets.Experience in working effectively and delegating tasks in a team-based environment. Why work here? For more than 20 years, they have been offering clinical and commercial manufacturing services, development solutions, and technologies while providing outstanding quality and reliability. This opportunity provides fantastic opportunity to progress into leadership roles and a chance to gain exposure with multiple different cell lines.About ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.	3868750137
"> **Summary**
> 
> First Student is seeking a Monitor/Aide to provide operational oversight, manage the safety and well-being of passengers, and assist drivers in the operation of school bus routes.
> 
> **Responsibilities**
> 
> * Maintain route knowledge and monitor passenger safety
> * Communicate behavioral issues and stop conditions to the driver
> * Assist with pre- and post-trip bus inspections
> * Guide passengers in loading and unloading
> * Cooperate with school personnel, students, and parents
> * Attend safety and training meetings
> * Conduct emergency evacuations and operate emergency doors
> * Open and close service doors and climb steps frequently
> * Clean the bus interior
> * Assist drivers with vehicle maneuvers when necessary
> 
> **Skills Required**
> 
> * Good verbal communication skills
> * Attention to detail
> * Early morning availability
> * Problem-solving and judgment
> * Ability to handle stress"	First for a reasonFirst Student is the largest school transportation provider in North America with more than a century of experience providing safe and reliable transportation. We work with 1,250 school districts in 39 states and 8 Canadian provinces carrying approximately five million students in 21,000 schools daily.Now Hiring Monitor/AideAt First Student, our Monitors/Aides are a constant reflection of our company’s commitment to safety and customer service. The Monitor/Aide is responsible for providing operational oversight, day-to-day management, and assists drivers in safe operation of routes.At First Student, we are proud to offer:Tremendous Career Advancement Opportunities due to a strong presence across North AmericaPositive and rewarding work environmentMonitor/Aide Responsibilities:Knows the route and remains alert to monitor the welfare of passengers while in routeCommunicates behavior problems and conditions of various stops with the driverAssists in pre-trip and post-trip inspections of the busAssists students in the loading and unloading processCooperates and communicates with school personnel, students, and parentsAttends all safety and training meetingsConducts emergency evacuation from the bus, including use of exiting by emergency doorOpens and closes service doors and moves up and down steps multiple times dailyCleans the inside of the busAssists driver when necessary to safely direct the vehicle backwardsMonitor/Aide Required Experience and Skills:Good verbal communication skillsAttention to detailEarly morning availabilityJudgement/problem solving skillsAbility to manage high degrees of stressFirst Student’s commitment to putting our customers first, dedication to safety, and an ambition to deliver dependable transportation makes for a working environment you’ll love. As a huge company with 120,000 staff and over 2.5 billion customers worldwide, you’ll also enjoy security, a brilliant future, and excellent training.Apply today to join our team!All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status. First is also committed to providing a drug-free workplace. First will consider for employment qualified applicants with criminal histories consistent with the requirements of the San Francisco Fair Chance Ordinance, Los Angeles Fair Chance Ordinance, and any other fair chance law. Philadelphia’s Fair Criminal Record Screening Standards Ordinance Poster is at this link or upon request https://www.phila.gov/media/20210423160847/Fair-Chance-Hiring-law-poster.pdf .	3868730687
"> **Summary:**
> 
> An experienced Microbiology Lab Technician (Night Shift) is sought for an award-winning hospital in Monsey, NY. The ideal candidate will collaborate with the microbiology laboratory team to support patient care through investigative diagnoses and laboratory analysis.
> 
> **Responsibilities:**
> 
> * Prepare and analyze clinical specimens (blood, urine, body fluids, CSFs, stools)
> * Create detailed reports to facilitate patient treatment plans
> * Maintain confidentiality of specimen results
> * Communicate findings with pathologists
> * Collaborate with laboratory staff and offer expertise
> * Attend departmental education training sessions
> * Comply with hospital regulations
> 
> **Required Skills:**
> 
> * Excellent laboratory and specimen analysis skills
> * Experience with investigative diagnoses
> * Proficiency in written communication
> * Teamwork and collaboration abilities
> * Confidentiality and discretion
> * Ability to work in a fast-paced environment
> * Knowledge of microbiology laboratory techniques"	An extraordinary career opportunity is now available for an experienced Microbiology Lab Tech (Night Shift) in the Monsey, NY area. An innovative hospital is looking to add a Night Shift Microbiology Lab Tech to join their award-winning microbiology laboratory.Known for their laboratory services, emergency department, and perioperative services, this progressive hospital prides itself on offering only the best personalized patient care. This reputable hospital has worked hard to maintain their honorable reputation by loyally serving their community for over 80 years. Providing care that effectively treats every patient’s physical and mental health needs is the top priority for this hardworking staff. The Microbiology Lab Tech will be a critical team member not just within the microbiology laboratory, but within the entire hospital system. Joining this innovative department, the Microbiology Lab Technician will be working in a fast-paced environment focused on maintaining the honorable reputation this hospital has built for themselves.Directly reporting to the Coordinator of the Microbiology Laboratory, the Microbiology Lab Tech must be able to take direction well. Working closely with other Microbiology Lab Techs, this individual must be able to collaborate well with others and work together to meet any departmental goals.Tasked with the responsibility of making investigative diagnoses, the Microbiology Lab Technician must be able to prepare detailed reports in order to expedite pertinent treatment plans for patients. The Microbiology Lab Tech will be required to complete various laboratory duties such as analyzing clinical specimens including blood, urine, body fluids, CSFs, and stools. Complying with the hospital’s rules and regulations, the Microbiology Lab Tech must continue to engage in departmental education training sessions to ensure all their performance duties are up-to-date. Additionally, the Microbiology Lab Tech must keep confidentiality of all results of processed specimens, and be able to communicate these findings with pathologists. Working closely with the microbiology laboratory department staff, the Microbiology Lab Tech must be an active team player and be able to offer their expertise and knowledge for any pressing issues.Situated in the Monsey, NY area, the Microbiology Lab Tech will be surrounded by fine dining, upscale shopping, and scenic parks. Additionally, the beautiful homes and ranked school systems will provide the Microbiology Lab Tech and their family marvelous opportunities. The Microbiology Lab Tech will have easy access to New York City and explore the lively city life. The best of both worlds is at the Microbiology Lab Tech’s fingertips!This progressive hospital is moving quickly to add a Microbiology Lab Tech to join their microbiology laboratory and are fully prepared offer a competitive compensation and full benefits package. Act fast and apply today!Microbiology Lab Tech (Night Shift), Lab Tech Microbiology (Nights), Night Shift Microbiology Lab Tech, Night Shift Microbiology Laboratory Technician, jobs, New York, New Jerseybriana@cmcwest.com	3868728299
"> **Summary:**
> 
> This position is responsible for developing and maintaining FTTP project documentation, ensuring project timelines are met, and utilizing Verizon's IDDS/ICGS drafting system for project planning, design engineering, and CAD work print generation.
> 
> **Responsibilities:**
> 
> * Develop and adhere to project documentation standards
> * Collaborate with various departments to ensure project deadlines and accuracy
> * Maintain knowledge of Verizon IDDS/ICGS drafting system
> * Perform project planning, including feeder routes, FDA cabinet locations, and distribution routes
> * Provide design engineering for feeder and distribution layouts
> * Generate construction work prints using IDDS/ICGS system
> * Conduct self-checks and quality control for accuracy and completeness
> * Monitor telecommunication technology trends
> * Plan and execute project work plans and manage emerging issues
> 
> **Skills Required:**
> 
> * AutoCAD
> * ArcGIS
> * Drafting
> * Telecom and telecommunication
> * Engineering and design
> * OSP
> * Construction management
> * Telecommunications systems
> * Telecom installation
> * Telecommunications management
> * IDDS
> * OSP distribution
> * Telecommunication technician
> * Intelligent Computer Graphics System
> * Fiber optic mapping
> * FTTP
> * Experience in telecommunications network design
> * Ability to retrieve and manipulate network data
> * Self-checking and accuracy verification
> * Collaboration with engineers and colleagues
> * Detail orientation and prioritization under pressure
> * Project review and improvement contributions
> * Proficiency in Cad and Microsoft Office applications
> * Knowledge of engineering standards and civil engineering principles
> * Reasoning ability and ability to follow instructions"	Description:Duties & Responsibilities Develop understanding and comply with all FTTP and project documentation standards (i.e. land base maps, assessor maps, Verizon OSP records, etc.) Work closely with all departments to ensure project timelines are met and final product conveys the correct information. Maintain proficiency and knowledge of technical developments related to Verizon IDDS/ICGS drafting system. Planning (establishment of feeder routes, FDA cabinet locations, distribution routes & boundaries.) Design Engineering (feeder and distribution layouts to be redlined on base maps showing all requirements associated with OSP distribution). CAD - ICGS Construction work print generation from IDDS/ICGS system. Perform Self-check, Quality Control of own work for completeness, accuracy, meeting client standards, of key features, and overall presentation quality appearance. Understanding future trends in telecommunication technology. Creates and executes project work plans and revises plans to meet emerging issues or evolving requirements.Skills:autocad, arcgis, Drafting, Telecom, Telecommunication, Engineering, Design, Osp, Construction management, telecommunications systems, telecom installation, telecommunications management, IDDS, osp distribution, telecommunication technician, Intelligent Computer Graphics System, Fiber optic mapping, FTTP, F1 & F2 CableTop Skills Details:autocad,arcgis,Drafting,Telecom,Telecommunication,Engineering,Design,Osp,Construction management,telecommunications systems,telecom installation,telecommunications management,IDDS,osp distribution,telecommunication technician,Intelligent Computer GraphicAdditional Skills & Qualifications: Must have experience in telecommunications network design. Ability to access, impute and retrieve information from network computer station. Must be able to self-check own work to ensure accuracy and completeness. Able to work closely with engineers and other personnel to direct project completion, obtain information or ensure drawing clarity. Able to work with minimal supervision, be a self-starter, and be detail oriented. Able to prioritize under pressure and be well-organized. Able to contribute in project reviews and improve job efficiencies. Proficiency in variety of Cad applications and Microsoft Office applications. Advanced knowledge of engineering standards, practices, methods, and techniques; basic cartography; and general civil engineering principles. Applied knowledge of in-depth assessment of the networked application needs, network modeling, and engineering high-speed technology network transports to deliver client specific technical solutions. Demonstrate intermediate reasoning ability to apply common sense and understanding to carry out instructions furnished in oral, written, or diagram form.About ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.	3868742568
"> **Summary:**
> 
> This Supplemental Worker role involves creating and maintaining engineering construction prints using Esri mapping applications and ensuring GIS accuracy and validity.
> 
> **Responsibilities:**
> 
> * Creating engineering construction prints using Esri mapping applications
> * Timely and accurate posting of GIS changes
> * Adherence to mapping standards
> * Storm restoration activities
> * Validation of GIS model connectivity and correction of issues
> * Quality control and data validation
> * Troubleshooting and implementing solutions
> * Provision of basic GIS application support to users
> 
> **Skills Required:**
> 
> * GIS
> * AutoCAD
> * Power systems
> * Electrical systems
> * Esri
> * Utility systems
> * Spatial queries
> * DOT
> * GIS/Geography 4-year degree
> * Intermediate level experience"	Description:Description of Planned work by Supplemental Worker / Job Responsibilities: Create engineering construction prints using Esri mapping applications Ensure GIS changes are posted timely and accurately Adhere to mapping standards including but not limited to offsets, annotation, and symbology Engage in storm restoration activities Validate GIS model connectivity and correct connectivity issues /Perform quality control and data validation activities Demonstrate ownership of assigned work Demonstrate ability to troubleshoot problems and implement solutions Provide basic GIS application support to users Demonstrate Our ValuesSkills:Gis, Autocad, power systems, electrical systems, Esri, utility systems, spatial queries, DOTTop Skills Details:Gis,Autocad,power systems,electrical systems,EsriAdditional Skills & Qualifications:GIS/Geography 4 year degreeExperience Level:Intermediate LevelAbout ActalentActalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500.Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleThe company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.	3868757052
"> **Summary:**
> 
> The Finance Manager will lead the finance department and manage bookkeeping operations for an HVAC technology contractor. The role will involve financial planning, analysis, and advisory functions.
> 
> **Responsibilities:**
> 
> * Prepare financial reports, forecasts, and budgets
> * Perform financial planning and analysis
> * Advise and communicate with funding partners
> * Oversee budget preparation and audits
> * Review and improve planning processes
> * Prepare company taxes and financial statements
> * Analyze and evaluate financial data
> * Identify opportunities for growth and expansion
> 
> **Skills Required:**
> 
> * Bachelor's degree in finance or related field
> * Bookkeeping and AR experience
> * Financial planning and investment analysis experience
> * Analytical, organizational, and management skills
> * Excellent verbal and written communication skills
> * Certification in bookkeeping
> * Master's degree and/or CPA preferred"	Job DescriptionFinance ManagerHighly reputable, HVAC technology contractor in business for over sixty (60) years, specializing in mechanical systems for schools, hospital, correctional institutions, industrial facilities, and commercial buildings, has an opportunity for you to contribute to the strategic development of this organization. We have experienced unprecedented growth as we continue to service the area. Our reputation is built on quality, personalized service, and strong attention to detail.Reporting to the CFO, the finance managers main responsibilities will include managing the finance department and bookkeeping operations, including FP&A, AR, and Lien specialist functions. We are offering a competitive base salary, plus a performance bonus, as well as comprehensive benefits, paid holidays and accrued PTO.Essential ResponsibilitiesPrepare financial reports, summaries, manuals, and books, while creating forecasts and predicting future growth. timely and accurately.Manage financial planning and analysis, including budgeting, cash management, financial modeling, forecasting, and investment analysis.Advise, promote, and engage with funding partners, through active dialog and communication.Oversee budget preparation, and audit functions. Review planning process and suggest improvements to current methods.Work with CPA to Prepare Company Taxes and Certified Financial Statements.Analyze departments in need of reorganization, downsizing, and elimination, as well as expansion into new product lines.Study long-range economic trends, project their impact on future growth in sales and market share, while identifying opportunities for expansion into new product areas.Essential RequirementsBachelor’s degree in finance or related field. Master’s degree and/or CPA is a plus.Five (5) years of bookkeeping and AR, investment analysis, banking relationship management experience.Three (3) years of financial planning, investment analysis experience.Training and certification in bookkeeping. Three (3) years financial planning, investment analysis, and team management.Excellent management, and supervisory, analytical, and organizational, verbal, and written skills.Ability to sit for indefinite periods of time and move between offices for meetings and other work activities if necessary.We are an equal employment opportunity company with a drug-free workplace. In addition to the competitive wages and incentives, we provide the opportunity to become an integral part of the continued growth of our organization. All qualified applicants will receive consideration without regard to race, color, religion, gender, national origin, disability status, protected veteran status, or any other characteristic protected by law. Veterans are encouraged to apply.	3874893866
"> **Summary:**
> 
> Become an Event Coordinator and combine your passion for travel and event planning into a rewarding career. With comprehensive training, certification, a flexible schedule, travel perks, and an uncapped commission-based earning structure, this remote position offers a unique opportunity for growth and success.
> 
> **Responsibilities:**
> 
> * Collaborate with clients to determine event requirements
> * Plan and coordinate events, ensuring client satisfaction
> * Use creativity to create memorable experiences
> * Promote event planning services
> * Book arrangements and manage event timelines
> * Address event-related issues
> * Stay updated with industry trends
> * Provide exceptional customer service
> 
> **Skills Required:**
> 
> * Passion for travel and event planning
> * Strong communication and interpersonal skills
> * Attention to detail
> * Commitment to delivering outstanding service
> * Ability to work independently and manage schedule effectively"	Event Coordinator - Combine Your Passion for Travel and Event Planning into a Rewarding CareerAbout Us: Join our team of Event Coordinators and embark on an exciting career that combines your love for travel and event planning. We have partnered with an award-winning agency with over seventy years of experience, holding the credentials and expertise to support your journey. No prior experience is necessary because we provide comprehensive training, certification, a flexible schedule (part-time or full-time), generous travel perks, and a commission-based earning structure with uncapped commissions. Additionally, you'll have access to recently launched software that outperforms major competitors in pricing, along with a professional website to promote your services.Opportunity Highlights: Training, Certification, and Website: As an Event Coordinator, you'll receive top-tier training and certification to equip you with the knowledge and skills needed to plan and coordinate remarkable events. We'll also provide you with a professional website to showcase your services, making it easy for potential clients to connect with you. Flexible Schedule: Enjoy the freedom to choose your own hours, whether you prefer a part-time or full-time schedule. Our remote business allows you to work on your terms, accommodating your other commitments. Travel Perks: Immerse yourself in a world of travel perks and benefits. As an Event Coordinator, you'll gain access to exclusive discounts, insider deals, and travel industry insights, enhancing your own travel experiences. Commission-Based Earnings: Your earning potential is commission-based, offering the opportunity to earn unlimited commissions as you assist clients in planning and coordinating their events. Your success is directly tied to your dedication and commitment to providing exceptional service. Cutting-Edge Software: Access to our recently launched software, which outperforms major competitors in pricing and availability. This tool ensures that your clients receive the best deals on event arrangements, including venues, catering, entertainment, transportation, and more.Key Responsibilities:Collaborate with clients to understand their event requirements, including type, theme, budget, and location.Plan and coordinate events, ensuring that all client preferences and needs are met, from venue selection to event logistics.Utilize your creativity and event planning skills to create memorable and seamless experiences for clients.Promote event planning services to attract potential clients and close event planning deals.Assist clients in booking event arrangements, securing vendors, and managing event timelines.Address and resolve any event-related issues or concerns promptly and professionally.Stay up-to-date with the latest event trends, industry standards, and creative event planning strategies.Provide excellent customer service to build long-lasting client relationships.Qualifications:Passion for travel, event planning, and a creative mindset.Strong communication and interpersonal skills.Attention to detail and a commitment to delivering outstanding service.The ability to work independently and manage your own schedule effectively.Join Us Today: If you're passionate about travel, event planning, and have a creative flair, this remote business opportunity is tailored for you. Whether you're new to event planning or have previous experience, we welcome individuals who share our dedication to creating unforgettable event experiences.Ready to turn your love for travel and event planning into a rewarding and flexible career as an Event Coordinator? Contact us today to learn more and begin your journey with us!Powered by JazzHRdoalt63O65	3874882929
