company,job title,level,full description,seniority level,employment type,job function,industries,job id
Integrated Finance & Accounting Solutions (IFAS),Corporate Capture Manager,Mid-Senior level,"Job DescriptionEssential job functionsResponsible for identifying and responding to new business opportunities including Request for Proposals (RFPs) / Request for Quotes (RFQs) / task orders under Multiple Award IDIQ Contract (MAC) Vehicles in the federal government marketplace.Works with the Solutions Architect and company Subject Matter Experts to develop and write Task Order proposal responses.Collaborates with Proposal Manager who supports producing RFQs responses.Coordinate meetings with customers, competitors, clients, and teammates to develop market insight on requirements, acquisition strategy, acquisition timing, and contract vehicle choices.Plan and participate in capture activities, to include opportunity gate reviews, black hat sessions, collaboration and workshop sessions, proposal review.Additional responsibility include: Serving as Color Team Review member to support proposals across IFAS practice areas, contracts and/or customer base.  Entering and updating pipeline tool to ensure opportunities are effectively tracked throughout the business development Lifecyle.  Representing IFAS at industry events to include tradeshows, conferences, and government Industry Days.  Establishing and maintaining strong relationships with current or potential industry teaming partners. SkillsStrong oral and written communications and interpersonal skills.Ability to work effectively with the IFAS President and CEO as well as communicate with cross-functional teams and stakeholders.Time management to effectively organize and deliver tasks on time.Strong analytical and decision-making skills.Strategic planning skills to contribute to long-term organizational growth and goals.Qualifications: Bachelor’s degree in related discipline and at least 8 years of experience with federal government business development and proposal response developmentStrong organizational, research, identification, and tracking skills necessary to uncover new business opportunities.Domain knowledge of the DoD and Civilian federal government marketplace primary in the IFAS core capabilities including Financial Management, Information Technology, and Management Consulting support servicesEffective communicator including strong written and oral skills.Good understanding of Industry research tools, processes, and procedures including federal government agency MAC vehicles and Government Wide Acquisition Contract (GWAC) vehicles.Ability to manage multiple projects and action items simultaneously.Solid understanding of project management, contracts, and proposal development to support requirement to work across corporate resources to successfully lead responses to RFQs / Task Orders.Background experience working with Financial, IT, or Management Consulting companies with a minimum of 100 employees.Task order proposal management, technical writing, and proposal development experienceSecret Clearance desired, not required.IFAS is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.Company DescriptionIntegrated Finance and Accounting Solutions (IFAS) is a service-disabled veteran, woman owned small disadvantaged business firm that applies integrated finance and accounting solutions to every engagement to help clients build sustain, and maintain a profitable business model. We do this with a corporate commitment to provide on time service that is mission focused and results driven. It is our true belief that finding the right solutions to your business' mission makes doing business less challenging. IFAS' core capabilities include business & Finance operations, IT Support Services, Acquisition and logistics support.We are an equal opportunity employer.Integrated Finance and Accounting Solutions (IFAS) is a service-disabled veteran, woman owned small disadvantaged business firm that applies integrated finance and accounting solutions to every engagement to help clients build sustain, and maintain a profitable business model. We do this with a corporate commitment to provide on time service that is mission focused and results driven. It is our true belief that finding the right solutions to your business' mission makes doing business less challenging. IFAS' core capabilities include business & Finance operations, IT Support Services, Acquisition and logistics support. We are an equal opportunity employer.",Mid-Senior level,Full-time,Other,Business Consulting and Services,3874896101
Lionakis,Project Manager - Healthcare,Director,"Are you an Architect who thrives in an imaginative and inventive environment? Are you someone who flourishes when part of a cohesive team where collaboration and ideas flow freely? Want to work for a firm taking concrete steps towards Equity & Diversity? We’re looking for an experienced Project Manager to join our Healthcare team in our Irvine office. The Healthcare team works on various projects from hospitals, to MOBs, to specialty clinics.We offer a robust bonus plan; health benefits; flexible hours including work-from-home, and alternating Fridays off; competitive paid time off; and a 401(k) matching program!An ideal candidate would serve as a project lead and manage the oversight and direction for all phases and aspects of a project from design through construction. This person would have also mastered general concepts, standards, and team dynamics as they relate to their assigned projects and takes on a lead role in collaborating with the internal project team and external contacts.As the Project Manager, you will...Manage project resources and assist in formulating project timelines and budgets.Provide oversight in project management to the project teams throughout all phases.Formulate solutions for moderately complex design challenges, including code compliance and agency interaction.Be responsible for project management, coordinating technical oversight and activities involving clients, consultants, contractors, and staff.Lead project teams during construction administration.Identify and address factors affecting project budget, construction costs, schedule, and potential risks to the Firm.Prepare project management plans and ensure strict adherence to these plans.Collaborate effectively with project leads to devise action plans and address project-related issues.Oversee project teams to ensure task completion aligns with project management plans, ensuring the project's completion within established timelines and budgets.Manage potential changes to the scope of work requested by clients and consultants; assess impact on the project budget and schedule.Ensure adherence to The Lionakis Way standards for design, quality control, and production.Review and evaluate documents for accuracy, coordinating with the project teams.Develop project proposals with the assistance of PIC and/or Studio Leader.Manage the financial aspects of projects, including creating and adhering to work plans, assisting the PIC with fee development, monitoring the project's financial status, and managing monthly project financial tasks.Delegate tasks to staff while supporting their professional development through coaching.Demonstrate strong time management and organizational skills.Display detail-oriented, collaborative, and proactive behavior in accurately completing work and meeting deadlines.Actively participate in market/studio project manager meetings and staffing processes.Assist the project team and market/studio leadership with any additional duties that may be assigned.Project Manager Qualifications – The Must-Haves (Required)Bachelor’s degree in Architecture or equivalent 10+ years architectural project experienceLicensed Architect in the U.S. (California preferred)Proficient with BIM/Revit software programsProficient with MS Office Suite (Word, Excel, PowerPoint, Outlook)Project Manager Qualifications – The Like-to-Haves (Not Required)LEED accreditation preferredSalary Range: $103,300-$143,100. Compensation DOE.Studies have shown that underrepresented individuals like women; LGBTQIA+; and BIPOC, among others, are less likely to apply for jobs unless they believe they meet every single one of the qualifications in a job description or posting. Because we are committed to building a diverse and inclusive organization, we understand the best candidate may come from a non-traditional background to our field of work. We strongly encourage you to apply, even if you don't believe you meet every one of the qualifications described above. Diversity makes us better. Powered by JazzHRIp1XlSfsMW",Director,Full-time,Project Management and Information Technology,Internet Publishing,3874883276
Dallas Market Center,Social Media Coordinator,Entry level,"Job DescriptionDallas Market Center is seeking a creative, adaptable, energetic and detail-oriented Social Media Coordinator/Manager to join our dynamic, collaborative Marketing team. This role will oversee and execute multichannel social media marketing initiatives across all industries (Apparel, Home, Design, Gift, Lighting and more) to promote the Dallas Market Center brand across wholesale industry verticals, as well as support prospecting efforts. This is a work in the office position.Position DescriptionDaily responsibilities will include sourcing, developing and managing content for DMC social media channels to support both brand marketing and direct marketing initiatives. Manage DMC social media channels based on strategic objectives (including response management, content scheduling, reporting, etc.). Own and execute social content and story posting during all markets (could include weekend work as requested). Manage and monitor campaign performance on an ongoing basis by analyzing key metrics, competitive set and creating comprehensive reports. Coordinate tactical social media marketing projects, including copy and asset selection, testing, and analysis. Work with marketing team members and external partners to adjust the social content strategy & schedule to meet changing market and competitive conditions as needed. Collaborate on strategic efforts to grow social following across all DMC industries. Assist with management & organization of media asset library along with lead photography and video coordination for each major market, including budgets. Work proactively with marketing department on content creation and the creative team for creative asset requests as needed and assist with proofing copy for marketing materials, ensuring consistent voice & accurate content. Assist with media asset trafficking, reporting and content creation. Collaborate with interdepartmental team members on media partnerships/sponsorships and related events, to assist with event and marketing support, and cross promotion opportunities across industries and/or verticals. Other duties as assigned by management. Required Experience2-3 years’ experience in a marketing role (full-time or internships). Experience with social media marketing. Must have strong organizational skills, as well as attention to detail. Excellent written and verbal communication skills, as well as outstanding proofreading skills. Firm grasp on various marketing channels and best practices, including social, digital, and email. Must be a self-starter and able to independently move projects forward, prioritize tasks, and meet deadlines. Must have a high level of creativity and a passionate attitude. Must have strong analytical skills to analyze metrics and create reports. Knowledge of Sprout Social (or related), CMS administration, Google Analytics is preferred. Required EducationBachelor’s Degree in Marketing, Communications or related fieldPhysical RequirementsMust be able to sit in an office environment for the majority of each day. Evenings and weekend work could be possible at times during markets. Company DescriptionDallas Market Center is a global business-to-business trade center and the leading wholesale marketplace in North America connecting retailers and interior designers with top manufacturers in home decor, furniture, gifts, lighting and fashion. Inside its dynamic, five million square foot campus near downtown Dallas, nearly 200,000 customers from all 50 states and 85 countries seek industry trends, business education and new products via open-daily showrooms and from exhibitors participating in trade events held throughout the year.Dallas Market Center is a global business-to-business trade center and the leading wholesale marketplace in North America connecting retailers and interior designers with top manufacturers in home decor, furniture, gifts, lighting and fashion. Inside its dynamic, five million square foot campus near downtown Dallas, nearly 200,000 customers from all 50 states and 85 countries seek industry trends, business education and new products via open-daily showrooms and from exhibitors participating in trade events held throughout the year.",Entry level,Full-time,Marketing and Sales,Wholesale,3874895915
Confidential,Senior Vice President of Corporate Development,Executive,"We are a growing SAAS tech-enabled services company who are looking to hire a SVP/VP of Corporate Development/M&A .Key Responsibilities• Executing detailed quantitative and qualitative business diligence on potential targets: including analyzing company data, synthesizing insights, and developing key takeaways• Assisting in the build of compelling memos and presentations to communicate key findings and recommendations to the Board• Support of industry mapping projects to identify key areas of interest to make co-investments/acquisitions• Collaboration with various third parties including investment bankers, consultants, financing sources, and other advisors• Sourcing and screening of various potential targets• Assisting in deal closing and transitioning target to the operational team• Support other ad-hoc projectsRequired Skills• Bachelor's degree in Finance, Economics, Business or a related field• 10+ years of experience at a top investment bank in industrials, corporate development, or private equity firm with a background in IT services, Technology• Experience executing on M&A transactions and financial modeling in healthcare /tech services or tech enabled services sector• Strong analytical capabilities and financial modeling/valuation skills, including LBO, DCF, and merger analyses• High aptitude to learn quickly, work on new teams and projects, and perform well under pressure with impeccable attention to detail• Proven ability to thrive in a dynamic environment and manage multiple projects simultaneously",Executive,Full-time,"Analyst, Finance, and Business Development","Technology, Information and Media",3875016429
Charter Homes & Neighborhoods,Architectural Drafter,Entry level,"Job DescriptionYou can Make Your Mark at Charter. If you have at least two years of architectural drafting experience and are ready to take your career to the next level, now is the time for you to join our team as an Architectural Drafter and be a part of creating award winning architectural designs in the most recognized neighborhoods in the region.This position is responsible for delivering complete architectural plan sets on schedule.At Charter, you'll have the opportunity to work alongside people like you who want to be the best at what they do while demonstrating a caring attitude, the ability to work smart, and belief in yourself.Charter Homes & Neighborhoods is one of the recognized names in the homebuilding industry both regionally and nationally. We have earned countless awards, including the Best Neighborhood in the Country and the National Housing Quality Award, the highest industry achievement. Over the past 30 years, we have delivered more than 5,000 homes and currently have neighborhoods open across Pennsylvania.This position includes a competitive salary, a health plan that includes medical, vision, dental, and prescription drugs, paid vacation, a 401K, short and long term disability, and a flexible spending account. For more information about our company and the benefits of joining us, visit WorkatCharter.com.This position requires two years of experience using Revit as related to creating residential and/or commercial architectural construction documents in conjunction with a strong understanding of building systems and construction.Submit your resume today!Company DescriptionCharter Homes & Neighborhoods is one of the recognized names in the homebuilding industry both regionally and nationally. We have earned countless awards, including the Best Neighborhood in the Country and the National Housing Quality Award, the highest industry achievement. Over the past 30 years, we have delivered over 5,000 homes in neighborhoods across Pennsylvania.Charter Homes & Neighborhoods is one of the recognized names in the homebuilding industry both regionally and nationally. We have earned countless awards, including the Best Neighborhood in the Country and the National Housing Quality Award, the highest industry achievement. Over the past 30 years, we have delivered over 5,000 homes in neighborhoods across Pennsylvania.",Entry level,Full-time,"Design, Art/Creative, and Information Technology",Construction,3874894634
Lombardo Homes,Land Development Manager,Mid-Senior level,"OverviewJob DescriptionThis position will lead in the development of land for a successful homebuilding company. Responsibilities include coordinating engineering, platting, budget validation, creation and maintenance of schedules, and development from acquisition through development completion and escrow releases. The successful candidate shall have experience in most of the below duties and responsibilities.Duties and ResponsibilitiesProject and Site Management (Lead) Coordinate with consultants including civil, soil, environmental and traffic engineers as required.  Manage SWPPP compliance for each project under development.  Create, maintain and update land development schedules weekly .  Oversee and coordinate the activities of engineers, consultants and trade partners in the development of plans and execution of land development tasks Participate in preliminary site plan development with respect to grading, utilities, storm water , sanitary sewer, amenities and product line.  Schedule and conduct pre-construction meetings with contractors, governmental agencies, utility companies and other stakeholders.  Manage the design and installation of underground utilities by public utilities.  Monitor contractors' and utility companies' work for construction schedule and scopes of work.  Manage performance and maintenance escrow releases.  Attend weekly meetings with engineers.  o Address and resolve construction issues as they arise during development. Budget Management (Support) Participate in maintaining and updating budgets for all phases of development.  Ability to negotiate pricing with third party trade partners.  Review and approve invoices and reconcile against project budgets on a bi-weekly basis. Acquisition (Support) Assist in obtaining entitlement approvals Assist in conducting due diligence to identify risk potential. Systems and Reporting (Support) Work within internal systems to manage invoices, review budgets, review cash flow Assist creation and maintenance of project update reportsQualificationsBachelor's degree and/or relevant work experience is required.Strong written and spoken communication skillsProficient in Microsoft Outlook, Word, ExcelCompany DescriptionFounded over 50 years ago, Lombardo Homes established its reputation as a leader in home building excellence. In over 30 communities, the privately owned and operated family business continues to set the new home building industry pace by creating exceptional new construction homes with the utmost quality, anticipating customer needs and providing customers with a new home buying experience.Founded over 50 years ago, Lombardo Homes established its reputation as a leader in home building excellence. In over 30 communities, the privately owned and operated family business continues to set the new home building industry pace by creating exceptional new construction homes with the utmost quality, anticipating customer needs and providing customers with a new home buying experience.",Mid-Senior level,Full-time,Management and Manufacturing,Real Estate,3874894374
Travel Yes,Booking Coordinator (Remote),Entry level,"As a Remote Booking Coordinator, you will play a crucial role in facilitating travel arrangements for clients, ensuring seamless coordination of bookings. Your responsibilities will include managing reservations, communicating with clients and vendors, and maintaining accurate records of travel bookings. Working remotely, you will collaborate with team members/vendors to deliver high-quality service and enhance the overall travel experience for clients.Responsibilities:Booking Management:Coordinate travel bookings, including flights, accommodations, transportation, and activities, using booking systems and online platforms.Input booking details accurately into reservation systems and ensure confirmation of reservations.Client Communication:Communicate with clients via phone, email, or online chat to gather travel preferences, provide booking information, and address inquiries or concerns.Provide friendly and professional assistance, ensuring a positive client experience at all times.Vendor Liaison:Communicate with travel service providers, hotels, airlines, and transportation companies to confirm bookings, gather information, and resolve any issues that may arise.Maintain positive relationships with vendors and ensure timely communication.Itinerary Planning Support:Assist in creating detailed travel itineraries tailored to clients' preferences, budget and interests.Research and suggest activities, attractions, and dining options based on destination and client requirements.Documentation Management:Maintain organized records of travel bookings, client interactions, and communication with vendors.Prepare and distribute travel confirmations, itineraries, and other relevant documentation to clients.Administrative Support:Assist with administrative tasks such as data entry, filing, and document preparation.Problem Resolution:Assist in resolving booking issues, such as flight changes, cancellations, or accommodation discrepancies, in a timely and efficient manner.Collaborate with team members and vendors to find suitable solutions for clients.Remote Collaboration: Participate in virtual meetings, training sessions, and team discussions as required.Qualifications:Organizational Skills:Excellent organizational and multitasking abilities.Attention to detail in managing travel bookings, client interactions, and administrative tasks.Communication Skills:Strong interpersonal and communication skills.Ability to interact professionally with clients, vendors, and team members.Technical Proficiency:Proficient in using computers and online communication tools.Customer Service Orientation:Customer-centric mindset with a focus on delivering high-quality service to clients.Ability to handle inquiries and resolve issues in a courteous and efficient manner.Adaptability:Comfortable working in a remote environment and adapting to varying work hours.Flexibility to handle changing priorities and deadlines.Must be eligible to work in the United States. Salary: $30,000-$65,000 yearly.Powered by JazzHRrrNNfErsmi",Entry level,Full-time,Management and Manufacturing,Internet Publishing,3874886595
C&S Consulting,Hotel Coordinator (Remote),Entry level,"Come aboard our dynamic team as a Hotel Coordinator and become an integral part of ensuring our customers' experiences are seamless and enjoyable. As a Hotel Coordinator, you'll handle reservations, assist customers with inquiries, and coordinate booking activities. If you're passionate about delivering exceptional customer service, possess top-notch organizational skills, and thrive in a fast-paced environment, we're eager to hear from you!Responsibilities:Manage incoming reservations via phone, email, and online platforms.Offer personalized assistance to customers, addressing inquiries, resolving issues, and suggesting suitable options.Navigate our reservation system adeptly to book, modify, and cancel reservations accurately.Collaborate closely with internal teams to ensure smooth coordination and timely fulfillment of customer requests.Maintain a thorough understanding of our products, services, and policies to effectively address customer queries.Assist with data entry, maintaining accurate records of reservations and customer interactions.Strive to meet and surpass performance targets, such as reservation conversion rates and customer satisfaction metrics.Work with sales and marketing teams to promote special offers and upsell additional services to customers.Required Skills:Excellent verbal and written communication skills, with a friendly and professional phone manner.Strong customer service orientation, with a genuine desire to assist customers courteously and effectively.Exceptional organizational and time-management skills, capable of multitasking and prioritizing tasks efficiently.Detail-oriented approach, ensuring accuracy in reservation details and data entry.Proficiency in using reservation and customer management systems or quick adaptability to new software.Ability to adapt to changing circumstances and handle challenging customer interactions with patience and empathy.Strong problem-solving skills, showcasing resourcefulness in meeting customer needs.Ability to work independently as well as collaboratively within a team environment.Benefits:Opportunities for professional development and career advancement.Collaborative and inclusive work culture fostering teamwork and innovation.Flexible work schedule options to promote work-life balance.Employee discounts on our products and services.Remote business opportunity.In summary, joining our team as a Hotel Coordinator presents an exciting chance to contribute to customer satisfaction and be part of a vibrant team. With a supportive work environment, appealing benefits, and opportunities to enhance your skills, this role is ideal for those who excel in delivering exceptional customer service. Apply now and embark on a rewarding career journey with us!Powered by JazzHRw0NwcoeYqP",Entry level,Full-time,Management and Manufacturing,Internet Publishing,3874889006
MSP Hire,Chief Technology Officer,Executive,"We're seeking an experienced IT professional who possesses a proven track record of transformative leadership and is prepared to elevate our team to a new level of success through team building and performance management. The Chief Technology Officer (CTO) is a key member of the Leadership Team responsible for overseeing all technology aspects to ensure efficient service delivery meeting client needs while supporting company growth. Ideal candidates will have extensive experience in team management, particularly with teams exceeding 80 Engineers.Job Duties & Responsibilities:Strategic Leadership:Collaborate with the executive team to align technology initiatives with business objectives.Stay updated on emerging technologies, recommend, and implement new technologies to expand offerings and enhance differentiation.Lead the development and implementation of IT security protocols and compliance processes.Provide regular technology updates to the CEO.Operational Management:Oversee IT infrastructure and operations team, ensuring smooth service delivery.Develop and manage the IT Department budget for profitability, ensuring performance metrics are achieved.Identify and mitigate potential risks and vulnerabilities in the technology infrastructure.Implement effective monitoring and reporting systems.Team Leadership:Recruit, hire, and develop a high-performing IT team.Foster a culture of continuous improvement and innovation.Develop team leaders to drive Core Values and enforce Standards and Processes.Client Relationships:Demonstrate a strong focus on client satisfaction.Collaborate closely with sales and account management teams to understand client needs.Participate in client presentations and proposals.Enhance soft skills training for the technical team.Additional Skills:Strong understanding of IT domains including networking, security, cloud computing, and data management.Effective leadership and project management abilities.Business acumen and financial understanding of technology decisions.Skills & Experience:Experience in a Managed Services Provider environment.Leadership experience with teams exceeding 60 individuals.Executive Leadership team membership experience.Strong understanding of IT Cyber Security Technologies.HR Information:$165-$175k annually + bonusMedical, Dental, Vision401k Powered by JazzHRRMYF7EpcTP",Executive,Full-time,Information Technology,Internet Publishing,3874882607
"NVB Playgrounds, Inc.",Director of Sales,Director,"Job DescriptionPlease submit the following survey to be considered for the role:https://go.cultureindex.com/p/0MKpKVbboUJ3UThe Director of Sales is a strategic leader responsible for developing and implementing sales strategies to drive revenue growth and achieve business objectives. This role oversees two Sales Managers, providing guidance and direction to ensure effective execution of sales plans and alignment with company goals.Key Responsibilities:Develop and implement strategic sales plans to achieve company sales targets and expand customer base. Provide leadership and direction to two Sales Managers, coaching and developing their skills to drive team performance. Collaborate with other departments to ensure alignment of sales strategies with overall company objectives. Analyze sales data and market trends to identify opportunities for growth and improvement. Monitor and report on sales performance metrics, adjusting strategies as needed to achieve goals. Establish and maintain relationships with key customers and partners to drive sales and enhance company reputation. Stay updated on industry trends and best practices, incorporating into sales strategies and team development. Prepare and present regular sales reports and forecasts to senior management. Qualifications:Bachelor's degree in Business Administration, Sales, Marketing, or related field; Master's degree preferred. Minimum of 5 years of experience in sales management, with a proven track record of achieving sales targets. Strong leadership skills with the ability to motivate and inspire a sales team. Excellent communication and interpersonal skills, with the ability to build relationships with customers and internal stakeholders. Strategic thinker with a results-oriented mindset. Proficiency in CRM software and Google Suite. Company DescriptionJoin a winning team that brings happiness and joy to the world. We are hiring here at NVB Playgrounds and we are just as dedicated to our customers as we are to our employees! Our team has been hard at work since 2006 to bring excitement and thrill to kid's faces around the country. Join us in making those dreams come true.Join a winning team that brings happiness and joy to the world. We are hiring here at NVB Playgrounds and we are just as dedicated to our customers as we are to our employees! Our team has been hard at work since 2006 to bring excitement and thrill to kid's faces around the country. Join us in making those dreams come true.",Director,Full-time,Sales and Business Development,Recreational Facilities,3874889724
